数霊表(1～181）
番号,数霊の意味
1,物事の始まりを示す数霊。
2,陰陽、分離を表し。一なる世界から二極に分かれていく様を示す数霊。
3,一つの完成を示す数霊。
4,安定しながら四方位に広がりゆくことを示す数霊。
5,大自然・宇宙を示す数霊。
6,物事が生成する産霊(ムスビ)が整う数霊。
7,物事が階段を迫って成就し、一体となった様を示す数霊。
8,末広がりに広がりゆく数霊。
9,三六九の世を橋渡しとなる数霊。
10,すべてを統(す)べるハタラキを持ち完成、完全を意味しています。
11,11はスタートを示す数霊です。
12,12は宇宙の法則性に潜む基礎数となる。
13,13はものすごいパワーを持っている数霊です。
14,14は個性的なエネルギーを放ちながらも相対的なエネルギーを調和の方向にもっていくことのできる和合力の強い数霊です。
15,この数霊には物事を整えるハタラキがあります。
16,16は宇宙エネルギーと対応する強いエネルギーを呼び込む数であり、しなやかでパワフルな数霊です。
17,17は、開花と祝福のしるしです。今まであなたが思い願ってきたことが歓喜に包まれ伸びゆくことを示しています。
18,18は水と緑の深い地球の呼吸数です。
19,19は国家の栄光を称える数霊です。
20,20は、天と地に代表されるように宇宙の壮大なスケールを表す数霊です。
21,21は新しい息吹をもたらす数霊です。
22,22は安定をもたらす数霊です。
23,23は求心力と遠心力を同時に持つダイナミックなす数霊です。
24,24は女性的な温かさ、柔らかさのバイブレーションを放つ数霊です。
25,25は宇宙のリズムと方向性を示す数霊で天の意志(天意)と感応し合っています。
26,26は始まりを示す数霊です。
27,27はみなもとの響きにつながる数霊です。
28,28は月のエネルギーを表します。
29,29は力強い上昇気流に乗って現実化を促進させる数霊です。
30,30は確たる信念を持つ力強い数霊です。
31,31はスパイラルなエネルギーに満ちたダイナミックな数霊です。
32,32は伸びゆくエネルギーに満ちた数霊です。
33,33は女神と賢者のエネルギーの両方を持つ魅力的な数霊です。
34,34は歩みを続けてよいという肯定的な数霊です。
35,35は変化を促し、統合へ向かう数霊です。
36,36は神なる世界へと向かう神秘の数霊です。
37,37は柔らかさと硬さ、両方をあわせもつ数霊です。
38,38は地表の資質を表す数霊です。
39,39の泥の中にあって凛(りん)と咲く蓮のように、汚れなき静謐(せいひつ）なエネルギーを蓄えている数霊です。
40,40は立ち上がる男性的なエネルギーが活性化している数霊です。
41,41は数霊の中でもっとも中心を表す大事な数字です。
42,42は天の運行、リズムと循環を示す数霊です。
43,43は潔く凛と立っている数霊です。
44,44はバランスとつながりを大切にする数霊です。
45,45は国造り(個人のレベルから国のレベルまで)に関係する数霊です。
46,46は次のステージの栄光へ向かうための転換期を示す数霊です。
47,47は命が躍動する有機的な数霊です。
48,48は鈍化しながら進んでいくエネルギーの数霊です。
49,49はめでたき幕開けを告げる数霊です。
50,50はこつこつと積み上げた努力が一念となり、法則性をもって成就していく数霊です。
51,51は柔と剛をあわせ持って今の現状を打破する数霊です。
52,52は地球の女性性を表す数霊です。
53,53は稲穂揺れる瑞穂(みずほ)の国、日本を表す数霊です。
54,54は神々のエネルギーを表す崇高な数霊です。
55,55は自分の内なる中心軸である。「誠」に戻る数霊です。
56,56は天からの祝福の数霊です。
57,57はやすらぎと愛に包まれた女性的な数霊です。
58,58はめでたくも楽しい広がりをもたらす数霊です。
59,59は真心を持ってことに当たり、いろいろな角度から創意工夫をしてみることをよしとするクリエイティブな数霊です。
60,60は扇状に拡がる慶びの数霊です。
61,61は命の根源に関わる大切な数霊です。
62,62は異なるエネルギーを融合させ、手を取り合うことで次のステージが開ける数霊です。
63,63は努力によってこつこつと積み上げて開けていく数霊です。
64,64は数に代表される宇宙・生命の原理を表す数霊です。
65,65はぬくもりと共に原初に還っていくエネルギーを持つ数霊です。
66,66は起こる現実をものともしない強い意志と同時にすべてを慈しむ愛に満ちた数霊です。
67,67は現質の力強さを内包する数霊です。
68,68は自分にとって大切なもの(人・モノ)をしっかり守り、積み上げていく数霊です。
69,69は新しいステージが始まったことを告げる数霊です。
70,70は人との出逢い、関係性について表す数霊です。
71,71は地球意識と関連する数霊です。
72,72は夢に向かって現状を打ち壊して先へ進む光のエネルギーがあるのと同時に闇の方向へシフトすると、病を引き起こす可能性もある、両極のエネルギーを持つ数霊です
73,73は地球の母性を表す女性的な数霊です。
74,74は意識の在り方をサポートする数霊です。
75,75は今あるエネルギーをより良い方向に変換させる「世直し」のエネルギーを持つ数霊です。
76,76はしあわせへと続くパスポートのエネルギーを持つ数霊です。
77,77は鎮座する中心のエネルギーをもたらす数霊です。
78,78は非常にキレのあるシャープな数霊です。
79,79は脈々と流れる先祖からの愛を、未来へとつなぐ成長を促す数霊です。
80,80は毅然(きぜん)と立ちながら、希望の道を照らす数霊です。
81,81は私たちの本質は光そのものであることを教えてくれる大切な数霊です。
82,82は内側の柱がしっかりと立って物事の礎ができていく数霊です。
83,83は仙骨のエネルギーと関係がある数霊です。
84,84は大調和を願う大きな志が秘められた数霊です。
85,85は魂が望む方向に運命が開けていってることを示す証の数霊です。
86,86は神の眷属(けんぞく : 遣いの者という意味)としての龍のハタラキを持つ数霊。
87,87は素朴で素直なエネルギーを持つ、活性化の数霊です。
88,88は無限へと続く崇高な数霊です。
89,89は勇猛果敢に進み、決断していく男性的な数霊です。
90,90は淀みなく、まっすぐに、神なるものとつながる数霊です。
91,91は理知的で完成形へと向かう数霊です。
92,92はありのままに映し出すというキーワードを持つ数霊です。
93,93は軸足をしっかりと定め、不動のごとくたち誇っている数霊です。
94,94は澄んだ空気の中に真実と喜びの光を見出す、すがすがしい数霊です。
95,95は成長の数霊です。
